push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 855, 1258540.371011744, 1258540.371019839, 8.174916729331017e-06, 272, 20480]"
"['push', 949, 1258540.403024271, 1258540.403032897, 8.706003427505493e-06, 272, 20480]"
"['push', 1043, 1258540.439012841, 1258540.439021256, 8.4748025983572e-06, 272, 20480]"
"['push', 1137, 1258540.451011342, 1258540.451019517, 8.265022188425064e-06, 272, 20480]"
"['push', 1231, 1258540.483017788, 1258540.483026604, 8.875969797372818e-06, 272, 20480]"
"['push', 1325, 1258540.51501207, 1258540.515020676, 8.675968274474144e-06, 272, 20480]"
"['push', 1419, 1258540.554993104, 1258540.555001289, 8.245930075645447e-06, 272, 20480]","['flush_after', 1419, 1258540.555002923, 1258540.586911434, 0.031908872071653605, 8704, 655360]"
"['push', 10, 1258558.875119948, 1258558.875136179, 1.630093902349472e-05, 272, 20480]"
"['push', 104, 1258558.896988836, 1258558.896997963, 9.218230843544006e-06, 272, 20480]"
"['push', 198, 1258558.911019311, 1258558.911028468, 9.258044883608818e-06, 272, 20480]"
"['push', 292, 1258558.94301685, 1258558.943025947, 9.17818397283554e-06, 272, 20480]"
"['push', 386, 1258558.975023987, 1258558.975033505, 9.6180010586977e-06, 272, 20480]"
"['push', 480, 1258558.997035893, 1258558.997044549, 8.736038580536842e-06, 272, 20480]"
"['push', 574, 1258559.00304399, 1258559.003053067, 9.157229214906693e-06, 272, 20480]"
"['push', 668, 1258559.035010922, 1258559.035019388, 8.536037057638168e-06, 272, 20480]"
"['push', 762, 1258559.0670134, 1258559.067022427, 9.117182344198227e-06, 272, 20480]"
